time,open,high,low,close,Volume
2020-04-01,8000,8300,7750,8100,2045100
2020-04-02,7900,8200,7800,8150,904500
2020-04-03,8225,8475,8150,8225,1097000
2020-04-06,8250,8625,8250,8625,1392400
2020-04-07,8650,9000,8250,8250,2041200
2020-04-08,8400,8475,7700,8025,2377700
2020-04-09,8100,8100,7675,7725,1547100
2020-04-13,7800,7825,7700,7750,1080400
2020-04-14,7750,8000,7725,7975,1540700
2020-04-15,7975,8100,7700,7900,1418300
2020-04-16,7900,7900,7525,7550,873400
2020-04-17,7650,7800,7625,7700,1106400
2020-04-20,7700,7800,7475,7500,1090100
2020-04-21,7450,7450,7025,7150,1731600
2020-04-22,7075,7075,6800,6925,1840800
2020-04-23,6950,7150,6950,6975,1025800
2020-04-24,6975,7225,6825,6900,1568900
2020-04-27,7000,7125,6900,7100,850800
2020-04-28,7100,7200,6875,6900,1376100
2020-04-29,6925,7025,6875,6925,941600
2020-04-30,6975,7300,6975,7200,2345300
2020-05-04,7100,7225,6950,7000,846900
2020-05-05,7200,7675,7100,7650,2988800
2020-05-06,7700,7900,7650,7850,3288400
2020-05-08,7825,8000,7700,7875,3280300
2020-05-11,7950,8050,7750,7800,2367400
2020-05-12,7800,8025,7700,7700,1421900
2020-05-13,7700,7800,7550,7650,755000
2020-05-14,7525,7750,7500,7525,930700
2020-05-15,7650,7700,7300,7400,878900
2020-05-18,7400,7800,7375,7725,1331900
2020-05-19,7775,7950,7775,7850,1368700
2020-05-20,7850,7850,7625,7675,952900
2020-05-26,7750,8100,7750,8100,3255700
2020-05-27,8150,8300,8000,8200,2720800
2020-05-28,8200,8375,8125,8200,3076500
2020-05-29,8225,8225,8000,8100,2493600
2020-06-02,8250,8500,8200,8475,3981800
2020-06-03,8500,8825,8475,8825,4258900
2020-06-04,8875,9175,8825,8925,5685700
2020-06-05,9000,9050,8725,8925,6492500
2020-06-08,8900,8900,8400,8600,9295300
2020-06-09,8700,8775,8375,8450,6073200
2020-06-10,8450,8500,7900,7925,5596000
2020-06-11,7700,8050,7700,7750,2787600
2020-06-12,7725,7825,7325,7825,3084400
2020-06-15,7900,8025,7550,7575,2173500
2020-06-16,7700,7925,7700,7850,2134600
2020-06-17,7925,7925,7750,7825,1944000
2020-06-18,7825,7900,7750,7750,1661500
2020-06-19,7800,7800,7225,7225,18808200
2020-06-22,7400,7525,7300,7475,10095500
2020-06-23,7500,7575,7400,7400,3283100
2020-06-24,7450,7500,7400,7400,3267200
2020-06-25,7400,7400,7225,7275,3901400
2020-06-26,7400,7400,7200,7250,2878600
2020-06-29,7300,7300,7125,7225,2348500
2020-06-30,7325,7325,7100,7100,4574900
2020-07-01,7150,7300,7050,7250,4387700
2020-07-02,7325,7475,7300,7350,5531700
2020-07-03,7425,7475,7325,7325,2225300
2020-07-06,7400,7450,7325,7425,1959600
2020-07-07,7500,7600,7400,7425,2514900
2020-07-08,7450,7475,7350,7475,3035800
2020-07-09,7525,7875,7475,7700,10393800
2020-07-10,7550,7700,7425,7450,4024300
2020-07-13,7450,7775,7300,7750,5981700
2020-07-14,7800,7800,7625,7625,4401000
2020-07-15,7725,7775,7675,7675,2254100
2020-07-16,7700,7725,7625,7675,1981800
2020-07-17,7750,8100,7650,7850,9901300
2020-07-20,8000,8000,7675,7675,3068200
2020-07-21,7775,7850,7700,7800,2970900
2020-07-22,7900,7925,7725,7750,2790300
2020-07-23,7800,8075,7750,7900,5518500
2020-07-24,7900,7900,7650,7675,3677500
2020-07-27,7700,8000,7675,8000,6373500
2020-07-28,8050,8350,8025,8050,6011200
2020-07-29,8125,8125,7825,7900,2774000
2020-07-30,7900,7950,7800,7900,3453200
2020-08-03,7900,7950,7400,7650,4671500
2020-08-04,7650,7775,7600,7725,1970400
2020-08-05,7675,7800,7475,7725,4259300
2020-08-06,7750,8000,7750,7975,3150500
2020-08-07,7950,8000,7800,7850,2027400
2020-08-10,7925,8600,7875,8575,12694300
2020-08-11,8575,8675,8275,8375,7418200
2020-08-12,8375,8375,8075,8125,6189000
2020-08-13,8125,8325,8075,8175,3425000
2020-08-14,8200,8250,8100,8125,2854500
2020-08-18,8125,8300,8125,8200,2321800
2020-08-19,8200,8300,8100,8200,4469000
2020-08-24,8200,8250,8075,8150,2684800
2020-08-25,8175,8300,8150,8300,3883000
2020-08-26,8350,8600,8300,8400,5773700
2020-08-27,8450,8625,8400,8500,4373600
2020-08-28,8500,8775,8500,8600,4349900
2020-08-31,8700,8750,8250,8275,5923000
2020-09-01,8400,8650,8200,8650,4708300
2020-09-02,8500,8850,8500,8700,5411900
2020-09-03,8700,8750,8525,8650,2297100
2020-09-04,8550,8550,8375,8500,1790300
2020-09-07,8500,8625,8375,8550,2388400
2020-09-08,8550,8675,8525,8550,1861000
2020-09-09,8450,8475,8325,8375,2986700
2020-09-10,8300,8300,7800,7800,7230600
2020-09-11,7575,8325,7500,8250,4721100
2020-09-14,8350,8450,8325,8375,1536000
2020-09-15,8400,8475,8300,8450,2128200
2020-09-16,8450,8500,8300,8400,1707100
2020-09-17,8500,8550,8250,8300,1223700
2020-09-18,8475,8500,8275,8325,1370700
2020-09-21,8350,8450,8275,8275,1630700
2020-09-22,8150,8400,8050,8325,2720300
2020-09-23,8400,8425,8150,8225,2069200
2020-09-24,8150,8225,8025,8050,1996400
2020-09-25,8150,8225,8100,8175,1024700
2020-09-28,8300,8300,8075,8075,909500
2020-09-29,8150,8375,8100,8175,2346900
2020-09-30,8150,8250,8050,8150,866600
2020-10-01,8175,8250,8125,8200,1343200
2020-10-02,8250,8275,7975,8125,1457900
2020-10-05,8125,8150,8050,8075,842600
