time,open,high,low,close,Volume
2020-04-01,326.77216,331.85152,313.2272,316.61344,43076332.0
2020-04-02,319.99968,389.4176,309.84096,365.71392,176447268.0
2020-04-03,386.03136,435.9784,380.952,406.3488,193920336.0
2020-04-06,414.8144,431.7456,389.4176,427.5128,170783287.0
2020-04-07,431.7456,444.444,408.04192,427.5128,124424376.0
2020-04-08,435.9784,440.2112,397.8832,397.8832,51839916.00000001
2020-04-09,414.8144,440.2112,401.26944,435.9784,120274995.0
2020-04-13,427.5128,444.444,411.42816,413.12128,90921257.0
2020-04-14,414.8144,419.89376,411.42816,413.12128,66194126.00000001
2020-04-15,408.04192,416.50752,384.33824,386.03136,89262544.0
2020-04-16,379.25888,386.03136,360.63456,360.63456,78590294.0
2020-04-17,367.40704,384.33824,365.71392,377.56576,76755339.0
2020-04-20,379.25888,384.33824,367.40704,370.79328,61608273.0
2020-04-21,345.39648,358.94144,345.39648,345.39648,36886930.0
2020-04-22,330.1584,342.01024,326.77216,335.23776,55648506.0
2020-04-23,345.39648,358.94144,343.70336,348.78272,65597476.0
2020-04-24,358.94144,369.10016,347.0896,347.0896,87722783.0
2020-04-27,352.16896,355.5552,340.31712,348.78272,48562062.0
2020-04-28,345.39648,348.78272,338.624,342.01024,54822103.0
2020-04-29,347.0896,353.86208,342.01024,343.70336,29317945.0
2020-04-30,347.0896,392.80384,347.0896,380.952,177772042.0
2020-05-04,386.03136,399.57632,364.0208,382.64512,92446489.0
2020-05-05,392.80384,421.58688,391.11072,419.89376,162482281.0
2020-05-06,431.7456,440.2112,406.3488,411.42816,128884072.0
2020-05-08,419.89376,419.89376,411.42816,414.8144,82832758.0
2020-05-11,421.58688,423.28,406.3488,406.3488,49778397.0
2020-05-12,411.42816,411.42816,392.80384,396.19008,62087387.99999999
2020-05-13,394.49696,413.12128,386.03136,402.96256,76363990.0
2020-05-14,401.26944,406.3488,386.03136,387.72448,42408925.0
2020-05-15,397.8832,406.3488,392.80384,397.8832,77789760.0
2020-05-18,406.3488,421.58688,406.3488,411.42816,98950222.0
2020-05-19,423.28,427.5128,408.04192,408.04192,77115975.0
2020-05-20,409.73504,411.42816,389.4176,389.4176,68742439.0
2020-05-26,394.49696,399.57632,391.11072,394.49696,56938551.0
2020-05-27,394.49696,394.49696,380.952,386.03136,57695733.0
2020-05-28,386.03136,387.72448,377.56576,379.25888,67346201.0
2020-05-29,384.33824,387.72448,372.4864,372.4864,60302282.0
2020-06-02,382.64512,391.11072,372.4864,380.952,114119849.0
2020-06-03,387.72448,411.42816,386.03136,409.73504,156969972.0
2020-06-04,423.28,427.5128,394.49696,396.19008,152850477.0
2020-06-05,399.57632,409.73504,391.11072,406.3488,84497968.0
2020-06-08,423.28,457.1424,418.20064,435.9784,306025089.0
2020-06-09,444.444,444.444,418.20064,418.20064,144929597.0
2020-06-10,423.28,423.28,402.96256,406.3488,79078033.0
2020-06-11,404.65568,404.65568,389.4176,397.8832,61992061.0
2020-06-12,372.4864,397.8832,370.79328,397.8832,87847524.0
