time,open,high,low,close,Volume
2020-04-01,765,815,735,735,148067300
2020-04-02,730,800,710,800,176088600
2020-04-03,810,840,795,800,199167500
2020-04-06,820,895,815,895,297293100
2020-04-07,925,950,875,915,307009600
2020-04-08,900,915,855,855,125212700
2020-04-09,850,880,820,835,172427700
2020-04-13,800,860,800,830,92693600
2020-04-14,850,900,835,900,219176300
2020-04-15,910,920,840,840,285125800
2020-04-16,830,840,800,805,143174400
2020-04-17,825,845,820,835,126383900
2020-04-20,830,845,800,805,114845000
2020-04-21,800,800,760,765,99714000
2020-04-22,755,775,730,765,136720300
2020-04-23,775,800,760,770,121051000
2020-04-24,785,800,760,770,142957600
2020-04-27,775,790,760,785,50742100
2020-04-28,775,790,770,780,42480100
2020-04-29,790,795,780,790,39795500
2020-04-30,800,855,800,855,180202200
2020-05-04,850,850,810,820,116776300
2020-05-05,825,835,805,815,121349800
2020-05-06,815,835,805,815,178524800
2020-05-08,830,865,815,860,318826400
2020-05-11,870,905,870,895,332702600
2020-05-12,895,900,850,855,148852200
2020-05-13,820,870,815,855,127208100
2020-05-14,840,855,805,810,145351000
2020-05-15,820,830,780,790,142061100
2020-05-18,810,840,800,835,97806100
2020-05-19,850,860,835,840,117706600
2020-05-20,840,850,820,830,86715700
2020-05-26,850,890,840,890,198105500
2020-05-27,900,910,870,885,223054200
2020-05-28,890,905,870,885,207684500
2020-05-29,855,860,835,860,266711300
2020-06-02,860,925,860,885,244429200
2020-06-03,900,980,895,970,544273300
2020-06-04,980,1030,950,955,418446600
2020-06-05,965,1030,945,1030,341658900
2020-06-08,1070,1135,1050,1110,393276900
2020-06-09,1150,1160,1090,1095,276527100
2020-06-10,1095,1110,1020,1040,272865000
2020-06-11,1030,1070,1000,1030,206158300
2020-06-12,1015,1060,960,1045,249131400
2020-06-15,1045,1060,995,995,197702600
2020-06-16,1020,1125,1020,1120,393632700
2020-06-17,1125,1155,1095,1125,234780900
2020-06-18,1115,1135,1090,1110,138139000
2020-06-19,1105,1125,1080,1080,130944100
2020-06-22,1085,1090,1055,1060,78736100
2020-06-23,1045,1100,1040,1095,108966000
2020-06-24,1100,1170,1090,1130,293977300
2020-06-25,1100,1130,1085,1090,168840200
2020-06-26,1105,1160,1100,1135,283310800
2020-06-29,1125,1160,1115,1150,201770400
2020-06-30,1175,1185,1135,1135,280957000
2020-07-01,1135,1150,1110,1135,113680900
2020-07-02,1145,1150,1120,1125,149236800
2020-07-03,1130,1140,1110,1110,90082800
2020-07-06,1125,1135,1115,1135,72598300
2020-07-07,1140,1155,1130,1140,141417300
2020-07-08,1150,1180,1140,1170,213135400
2020-07-09,1185,1190,1155,1160,143608200
2020-07-10,1160,1165,1130,1135,80850900
2020-07-13,1140,1165,1140,1160,49146600
2020-07-14,1160,1185,1145,1165,104248000
2020-07-15,1180,1190,1150,1155,97700600
2020-07-16,1160,1170,1150,1160,65006200
2020-07-17,1155,1170,1145,1160,50234900
2020-07-20,1160,1165,1135,1140,54876400
2020-07-21,1145,1170,1145,1155,74949000
2020-07-22,1165,1230,1160,1220,414497900
2020-07-23,1235,1270,1225,1245,187897700
2020-07-24,1250,1260,1210,1220,110530200
2020-07-27,1210,1250,1210,1230,67576100
2020-07-28,1235,1245,1210,1220,56839200
2020-07-29,1220,1250,1205,1230,100171500
2020-07-30,1250,1280,1230,1265,221126300
2020-08-03,1265,1280,1180,1200,192588400
2020-08-04,1190,1230,1190,1205,105825800
2020-08-05,1205,1235,1200,1235,83862900
2020-08-06,1240,1260,1235,1235,70343000
2020-08-07,1255,1255,1200,1210,95092900
2020-08-10,1210,1225,1205,1210,53606800
2020-08-11,1210,1230,1205,1210,84151400
2020-08-12,1210,1235,1200,1220,124317100
2020-08-13,1230,1245,1220,1235,79605200
2020-08-14,1230,1250,1225,1230,51790400
2020-08-18,1240,1265,1230,1245,99427300
2020-08-19,1250,1305,1245,1305,206134500
2020-08-24,1305,1335,1300,1315,176421200
2020-08-25,1320,1350,1310,1340,113468200
2020-08-26,1340,1350,1310,1315,112043900
2020-08-27,1315,1330,1305,1315,61154600
2020-08-28,1315,1340,1315,1325,92556200
2020-08-31,1325,1340,1255,1255,161283800
2020-09-01,1265,1290,1250,1285,77012000
2020-09-02,1300,1330,1280,1330,97364900
2020-09-03,1335,1340,1295,1310,74372700
2020-09-04,1285,1295,1265,1290,84262600
2020-09-07,1270,1275,1220,1230,151337100
2020-09-08,1230,1240,1175,1180,203897100
2020-09-09,1170,1170,1110,1120,208807700
2020-09-10,1070,1080,1045,1045,123770900
2020-09-11,1000,1120,995,1105,230431200
2020-09-14,1120,1150,1110,1145,107686800
2020-09-15,1145,1155,1100,1105,131174000
2020-09-16,1105,1120,1080,1085,54767300
2020-09-17,1080,1100,1035,1050,97076400
2020-09-18,1040,1080,1040,1040,112762700
2020-09-21,1040,1060,1000,1010,79674500
2020-09-22,990,1040,980,1020,116836300
2020-09-23,1030,1045,980,1005,133463700
2020-09-24,985,1000,955,960,133949100
2020-09-25,965,1000,960,995,138126700
2020-09-28,1005,1015,965,970,98508400
2020-09-29,975,990,950,955,96786900
2020-09-30,950,960,905,925,139729500
2020-10-01,935,965,925,955,135636100
2020-10-02,955,955,900,920,202315100
2020-10-05,930,940,920,930,73231200
2020-10-06,940,985,940,970,188135700
2020-10-07,960,975,955,975,111553200
2020-10-08,985,1005,975,980,213952200
2020-10-09,980,985,970,980,60133400
2020-10-12,995,1005,985,1000,153562000
2020-10-13,1005,1050,990,1035,208008500
2020-10-14,1035,1080,1030,1065,186576800
2020-10-15,1065,1090,1030,1035,159965400
2020-10-16,1040,1050,1020,1030,86552600
2020-10-19,1040,1065,1035,1065,96583500
2020-10-20,1065,1080,1045,1045,123254200
2020-10-21,1055,1070,1050,1060,76196800
2020-10-22,1055,1090,1040,1060,201741400
2020-10-23,1070,1075,1055,1065,64536300
2020-10-26,1065,1105,1065,1105,187108900
2020-10-27,1105,1115,1075,1075,158392800
2020-11-02,1050,1070,1045,1060,94255000
2020-11-03,1075,1085,1060,1075,80932200
2020-11-04,1085,1090,1050,1050,71755300
2020-11-05,1065,1085,1065,1080,62948400
2020-11-06,1090,1110,1070,1100,124221100
2020-11-09,1115,1125,1100,1125,128688800
2020-11-10,1160,1190,1140,1175,239757500
2020-11-11,1180,1230,1170,1205,217771400
2020-11-12,1205,1210,1165,1175,117718300
2020-11-13,1165,1185,1160,1180,73550300
2020-11-16,1190,1220,1190,1215,117888500
2020-11-17,1235,1285,1225,1270,273905900
2020-11-18,1280,1370,1275,1365,478470000
2020-11-19,1365,1385,1335,1355,197300700
2020-11-20,1355,1410,1330,1405,329589900
2020-11-23,1415,1445,1410,1425,144114800
2020-11-24,1450,1455,1425,1440,121087300
2020-11-25,1460,1475,1390,1415,194352500
2020-11-26,1415,1430,1405,1430,50964700
2020-11-27,1435,1500,1420,1490,220098800
2020-11-30,1490,1490,1390,1390,405827600
2020-12-01,1390,1435,1335,1390,357636100
2020-12-02,1410,1445,1390,1440,244197000
2020-12-03,1460,1485,1450,1455,210592200
2020-12-04,1460,1465,1430,1450,104147200
2020-12-07,1475,1480,1455,1465,116680400
2020-12-08,1490,1710,1470,1690,825987000
2020-12-10,1730,1735,1630,1670,407318000
2020-12-11,1700,1715,1640,1655,203256500
2020-12-14,1670,1730,1650,1715,297419500
2020-12-15,1725,1835,1695,1790,461332500
2020-12-16,1800,1885,1795,1810,452252500
2020-12-17,1825,1840,1765,1790,207152200
2020-12-18,1790,1825,1755,1790,165406100
2020-12-21,1800,1895,1790,1795,387447200
2020-12-22,1790,1795,1670,1680,350302700
2020-12-23,1700,1745,1610,1650,302781800
2020-12-28,1690,1775,1630,1770,362172200
2020-12-29,1800,1810,1720,1725,266567100
2020-12-30,1730,1740,1655,1655,238553400
2021-01-04,1540,1585,1540,1540,791375200
2021-01-05,1540,1640,1520,1600,715746400
2021-01-06,1620,1630,1515,1560,288875700
2021-01-07,1560,1600,1555,1570,176961400
2021-01-08,1630,1710,1630,1640,544955500
2021-01-11,1630,1655,1620,1625,164191900
2021-01-12,1630,1645,1600,1610,128221000
2021-01-13,1620,1645,1605,1615,153048100
2021-01-14,1620,1865,1590,1810,1069873000
2021-01-15,1830,1845,1770,1775,623839700
2021-01-18,1775,1880,1735,1795,654162900
2021-01-19,1810,1820,1670,1705,366089800
2021-01-20,1705,1765,1685,1735,207435600
2021-01-21,1760,1820,1710,1765,447066900
2021-01-22,1765,1770,1675,1680,313780100
2021-01-25,1680,1680,1605,1620,167839600
2021-01-26,1625,1660,1510,1535,220785000
2021-01-27,1540,1555,1440,1485,292012100
2021-01-28,1455,1515,1385,1390,321100400
2021-01-29,1410,1435,1305,1345,292962600
2021-02-01,1345,1470,1270,1455,397901900
2021-02-02,1480,1505,1440,1470,264116900
2021-02-03,1470,1540,1445,1485,245625300
2021-02-04,1490,1505,1450,1460,106027200
2021-02-05,1480,1490,1460,1475,57651500
2021-02-08,1490,1520,1485,1495,108385200
2021-02-09,1505,1515,1425,1430,191691500
2021-02-10,1440,1460,1395,1405,159003900
2021-02-11,1410,1445,1395,1420,116525400
2021-02-15,1435,1525,1435,1520,231361500
2021-02-16,1530,1545,1500,1505,169849400
2021-02-17,1505,1535,1455,1465,184842600
2021-02-18,1475,1485,1445,1450,54961000
2021-02-19,1450,1460,1425,1450,50215500
2021-02-22,1470,1475,1440,1455,63832600
