time,open,high,low,close,Volume
2020-04-01,2120,2230,2040,2050,30561000
2020-04-02,2030,2060,1950,2030,23837600
2020-04-03,2020,2130,2020,2110,25841300
2020-04-06,2100,2160,2090,2160,18666000
2020-04-07,2250,2250,2090,2100,21588800
2020-04-08,2100,2150,1955,1995,19039300
2020-04-09,1995,2040,1935,1980,9649000
2020-04-13,1980,2030,1955,2000,5783600
2020-04-14,2020,2100,2010,2080,15932800
2020-04-15,2100,2120,1960,1960,19782000
2020-04-16,1980,1990,1895,1905,15573500
2020-04-17,1920,2000,1920,1980,14020600
2020-04-20,1990,2020,1935,1935,7323100
2020-04-21,1925,1925,1800,1825,26386000
2020-04-22,1800,1880,1775,1855,18720700
2020-04-23,1880,1925,1855,1890,25778600
2020-04-24,1880,1960,1845,1850,28119600
2020-04-27,1875,1890,1815,1825,16358000
2020-04-28,1815,1845,1770,1780,17254900
2020-04-29,1795,1820,1785,1790,9910000
2020-04-30,1815,1890,1815,1875,20464800
2020-05-04,1870,1870,1790,1815,11936000
2020-05-05,1850,1865,1780,1815,35220100
2020-05-06,1825,1910,1820,1895,58599000
2020-05-08,1915,2080,1895,2060,86015500
2020-05-11,2080,2160,2030,2050,38337600
2020-05-12,2100,2100,1980,1990,26412900
2020-05-13,1940,1975,1860,1905,58253000
2020-05-14,1870,1950,1855,1865,37832000
2020-05-15,1880,1940,1800,1815,30769700
2020-05-18,1830,1910,1805,1900,45956600
2020-05-19,1935,1985,1910,1915,45276000
2020-05-20,1920,1935,1890,1920,24247000
2020-05-26,1945,2060,1930,2040,51276500
2020-05-27,2070,2110,2020,2090,41042300
2020-05-28,2120,2140,2070,2090,46169400
2020-05-29,2090,2090,1945,1945,364481600
2020-06-02,1975,2100,1970,2080,125564400
2020-06-03,2100,2140,2050,2110,87870700
2020-06-04,2140,2300,2130,2180,132199300
2020-06-05,2200,2250,2160,2210,66641200
2020-06-08,2250,2320,2250,2300,93899700
2020-06-09,2320,2400,2310,2390,119439500
2020-06-10,2380,2480,2280,2370,269829400
2020-06-11,2350,2380,2250,2280,115570200
2020-06-12,2160,2410,2150,2390,161447100
2020-06-15,2400,2480,2350,2360,132252000
2020-06-16,2420,2480,2420,2440,99983800
2020-06-17,2480,2490,2420,2470,115857300
2020-06-18,2500,2510,2430,2450,216195200
2020-06-19,2280,2280,2280,2280,109331100
2020-06-22,2140,2200,2130,2130,207937000
2020-06-23,2090,2160,2030,2080,156000400
2020-06-24,2100,2160,2090,2120,108004000
2020-06-25,2080,2120,2050,2060,79582000
2020-06-26,2100,2110,2050,2060,48365400
2020-06-29,2050,2080,2010,2030,63577100
2020-06-30,2050,2070,2000,2020,51448600
2020-07-01,2020,2090,1995,2090,82565200
2020-07-02,2110,2120,2060,2070,80132800
2020-07-03,2100,2100,2050,2050,31700400
2020-07-06,2060,2070,2040,2070,33927100
2020-07-07,2080,2090,2050,2050,30740100
2020-07-08,2050,2100,2040,2080,57910300
2020-07-09,2080,2170,2060,2100,129801200
2020-07-10,2100,2130,2060,2070,53632400
2020-07-13,2080,2170,2070,2170,142137400
2020-07-14,2180,2200,2140,2140,111290100
2020-07-15,2190,2190,2130,2150,51534200
2020-07-16,2170,2180,2120,2120,31992300
2020-07-17,2140,2170,2110,2140,59441700
2020-07-20,2160,2160,2080,2080,44068400
2020-07-21,2080,2130,2080,2110,29396200
2020-07-22,2130,2140,2080,2080,31878600
2020-07-23,2110,2140,2090,2110,32352000
2020-07-24,2100,2120,2070,2070,31699900
2020-07-27,2080,2110,2070,2080,23222200
2020-07-28,2090,2110,2050,2080,30856500
2020-07-29,2080,2090,2050,2070,14713800
2020-07-30,2080,2090,2020,2030,46692000
2020-08-03,2030,2040,1895,1975,77529900
2020-08-04,2000,2020,1975,2010,53867700
2020-08-05,2010,2050,1995,2040,30482100
2020-08-06,2060,2080,2040,2080,38585900
2020-08-07,2090,2090,2020,2050,26817300
2020-08-10,2050,2120,2040,2120,69697100
2020-08-11,2130,2140,2080,2100,37992000
2020-08-12,2100,2100,2050,2060,36475500
2020-08-13,2050,2080,2050,2070,12773500
2020-08-14,2080,2080,2050,2060,17210000
2020-08-18,2060,2080,2060,2080,19991700
2020-08-19,2080,2130,2070,2110,55754100
2020-08-24,2090,2120,2070,2100,26481700
2020-08-25,2100,2120,2100,2120,26816900
2020-08-26,2130,2170,2100,2130,45944800
2020-08-27,2140,2160,2110,2130,26375900
2020-08-28,2130,2160,2120,2130,26919000
2020-08-31,2150,2150,2030,2040,63035800
2020-09-01,2050,2110,2020,2100,34663600
2020-09-02,2120,2160,2090,2150,43367500
2020-09-03,2160,2170,2120,2140,25352600
2020-09-04,2130,2130,2070,2100,18682000
2020-09-07,2100,2130,2070,2110,17178600
2020-09-08,2110,2130,2080,2080,19034400
2020-09-09,2060,2080,2020,2040,27289600
2020-09-10,2020,2020,1900,1900,68273200
2020-09-11,1845,1975,1810,1970,46751800
2020-09-14,2000,2050,2000,2050,26702000
2020-09-15,2070,2070,2030,2050,28752300
2020-09-16,2060,2070,2030,2040,13859300
2020-09-17,2060,2070,2000,2010,15857900
2020-09-18,2020,2040,2000,2000,18694700
2020-09-21,2020,2040,2000,2000,15419900
2020-09-22,1990,2010,1975,2000,17243900
2020-09-23,2010,2030,1970,1980,12875500
2020-09-24,1970,1980,1940,1950,11910700
2020-09-25,1970,1995,1945,1990,11710500
2020-09-28,1995,2010,1965,1970,5436200
2020-09-29,1990,2010,1970,1985,17340900
2020-09-30,1985,1990,1940,1970,11323400
2020-10-01,1980,2020,1970,2000,9175800
2020-10-02,2010,2010,1950,1970,9279700
2020-10-05,1970,1990,1950,1950,11708500
2020-10-06,1965,1975,1960,1970,6498000
2020-10-07,1970,1985,1960,1965,18221500
2020-10-08,1975,2040,1965,1990,30616700
2020-10-09,1990,2010,1980,1985,11386800
2020-10-12,1985,2020,1980,2020,15389500
2020-10-13,2020,2030,1985,2030,14388400
2020-10-14,2020,2070,2000,2050,28140300
2020-10-15,2060,2070,2010,2010,19485700
2020-10-16,2010,2060,1995,2050,26072500
2020-10-19,2070,2080,2040,2050,15469800
2020-10-20,2050,2060,2000,2010,18312400
2020-10-21,2010,2040,2000,2000,13260800
2020-10-22,2000,2000,1960,1965,71860900
2020-10-23,1970,1980,1955,1960,22850600
2020-10-26,1965,1990,1965,1970,19051200
2020-10-27,1970,1985,1960,1960,11583500
2020-11-02,1960,1970,1940,1940,18159000
2020-11-03,1950,1965,1950,1950,9393500
2020-11-04,1955,1965,1935,1935,16673900
2020-11-05,1950,1975,1945,1970,14737000
2020-11-06,1985,2010,1985,1990,35428700
2020-11-09,2010,2040,2000,2010,29260700
2020-11-10,2050,2050,2010,2020,20916700
2020-11-11,2040,2100,2020,2070,65778900
2020-11-12,2080,2080,2040,2040,24822800
2020-11-13,2030,2050,2020,2040,17436800
2020-11-16,2060,2150,2050,2130,61569000
2020-11-17,2140,2160,2110,2110,53820400
2020-11-18,2130,2140,2110,2110,27678900
2020-11-19,2110,2240,2100,2230,132673300
2020-11-20,2240,2260,2180,2190,72908500
2020-11-23,2230,2280,2220,2280,77900700
2020-11-24,2310,2340,2280,2280,88378800
2020-11-25,2320,2350,2250,2280,102632700
2020-11-26,2310,2360,2310,2360,99508100
2020-11-27,2380,2420,2360,2410,61249600
2020-11-30,2440,2530,2310,2360,192854700
2020-12-01,2400,2480,2320,2430,91179000
2020-12-02,2450,2470,2420,2450,64008000
2020-12-03,2490,2510,2440,2440,61766600
2020-12-04,2470,2500,2430,2480,64010900
2020-12-07,2530,2700,2530,2680,156851600
2020-12-08,2750,2850,2700,2820,139826000
2020-12-10,2850,2870,2750,2800,107887700
2020-12-11,2820,2850,2780,2810,59382300
2020-12-14,2870,3050,2870,3050,106224600
