ticker,model,MAE,MSE,RMSE,MAPE,parameter
ADRO,arima,31.922462920338496,2086.3618634906197,45.676710296283595,1.7431783818775721,"(0,1,3)"
BBCA,arima,97.99757209903514,17546.00446318597,132.4613319545971,1.1928873109664544,"(0,1,3)"
BBNI,arima,57.0181484730441,6314.949777554947,79.46665827600243,1.349094618742253,"(0,1,3)"
BBRI,arima,53.02339926766607,4967.273417931531,70.47888632726493,1.3723709936096409,"(0,1,3)"
BBTN,arima,22.924974742758216,1040.54639083391,32.25750131107352,1.8873329839385662,"(1,0,3)"
BMRI,arima,60.72496866564123,6581.310563177312,81.12527696826257,1.2947887271305207,"(0,1,3)"
ITMG,arima,153.52071414627505,50513.69099315388,224.75251053804467,0.6796893422618242,"(1,1,3)"
MEDC,arima,25.672566659719237,1218.4683560411754,34.90656608778892,1.9461704263332074,"(2,1,3)"
PGAS,arima,23.298972526828898,1093.0233905579253,33.06090426104412,1.3646059388715304,"(1,0,3)"
PTBA,arima,22.602691346442715,2102.101497257675,45.84868043093143,0.9385850095790198,"(0,1,3)"
