ticker,model,MAE,MSE,RMSE,MAPE,parameter
ADRO,GRU,38.05899329215504,2927.974504501784,54.11076144817945,2.0655238133408496,"window=30, units=128, layers=2, dropout=0.15"
BBCA,GRU,95.72730379996537,18481.313722655887,135.94599561096268,1.1640532382692867,"window=30, units=128, layers=2, dropout=0.15"
BBNI,GRU,57.374778411371295,6226.879010848192,78.91057603926227,1.3548956356086346,"window=30, units=128, layers=2, dropout=0.15"
BBRI,GRU,58.85247327615622,6158.16208259956,78.47395798989344,1.5196980425758717,"window=30, units=128, layers=2, dropout=0.15"
BBTN,GRU,22.681231762644142,1080.2581631966423,32.86728104356432,1.86254975905264,"window=30, units=128, layers=2, dropout=0.15"
BMRI,GRU,74.05526898747726,8961.328611054454,94.66429427748592,1.5827216305826792,"window=30, units=128, layers=2, dropout=0.15"
ITMG,GRU,166.31847477430958,56589.79794462809,237.8861028825099,0.7366860223232047,"window=30, units=128, layers=2, dropout=0.15"
MEDC,GRU,27.250633419630752,1368.9395976587887,36.999183743142076,2.0666229899374984,"window=30, units=128, layers=2, dropout=0.15"
PGAS,GRU,23.450264124561542,1105.9378411263792,33.25564374848845,1.3776684395196823,"window=30, units=128, layers=2, dropout=0.15"
PTBA,GRU,23.006844134639493,2109.877924010013,45.93340749400171,0.9567996078983595,"window=30, units=128, layers=2, dropout=0.15"
