ticker,AIC_0-3,AIC_0-5,AIC_0-9,BIC_0-3,BIC_0-5,BIC_0-9
ADRO,"(0,1,3)","(0,1,5)","(4,1,9)","(0,1,3)","(0,1,5)","(0,1,9)"
BBCA,"(0,1,3)","(4,1,5)","(9,1,9)","(0,1,3)","(0,1,5)","(0,1,9)"
BBNI,"(2,1,3)","(4,1,5)","(0,1,9)","(0,1,3)","(0,1,5)","(0,1,9)"
BBRI,"(2,1,3)","(4,1,5)","(6,1,9)","(0,1,3)","(0,1,5)","(0,1,9)"
BBTN,"(3,0,3)","(3,0,5)","(3,0,9)","(1,0,3)","(1,0,5)","(1,0,9)"
BMRI,"(0,1,3)","(0,1,5)","(2,1,9)","(0,1,3)","(0,1,5)","(0,1,9)"
ITMG,"(1,1,3)","(5,1,5)","(2,1,9)","(1,1,3)","(1,1,5)","(0,1,9)"
MEDC,"(2,1,3)","(4,1,5)","(2,1,9)","(2,1,3)","(0,1,5)","(0,1,9)"
PGAS,"(3,0,3)","(3,0,5)","(1,0,9)","(1,0,3)","(1,0,5)","(1,0,9)"
PTBA,"(3,1,3)","(2,1,5)","(3,1,9)","(0,1,3)","(0,1,5)","(0,1,9)"
