config,window,units,layers,dropout,MAE,MSE,RMSE,MAPE
Combination_025,20,128,1,0.1,62.2989,11978.032,88.5785,1.5553
Combination_013,20,64,1,0.1,69.8529,15299.1379,95.4439,1.6025
Combination_061,40,128,1,0.1,64.1899,11871.8813,89.268,1.6161
Combination_065,40,128,2,0.1,65.2806,12529.3717,89.9015,1.626
Combination_028,20,128,1,0.4,73.3894,17914.0778,100.0105,1.6524
Combination_049,40,64,1,0.1,70.8103,15877.3211,97.3738,1.6551
Combination_033,20,128,3,0.1,68.8678,14493.3466,94.3945,1.6587
Combination_026,20,128,1,0.2,74.1504,19345.1199,102.3217,1.6687
Combination_062,40,128,1,0.2,66.4303,12872.361,92.8076,1.6691
Combination_027,20,128,1,0.3,67.4509,13512.7043,93.1608,1.6788
Combination_066,40,128,2,0.2,68.5823,13936.745,95.0235,1.6809
Combination_050,40,64,1,0.2,69.6993,14212.6021,95.5131,1.6996
Combination_014,20,64,1,0.2,69.7197,14446.8669,95.7314,1.7014
Combination_069,40,128,3,0.1,67.3041,12864.1483,92.9338,1.7126
Combination_098,60,128,1,0.2,69.8872,14448.4215,95.1488,1.7158
Combination_097,60,128,1,0.1,67.1946,12886.2559,92.8174,1.7234
Combination_001,20,32,1,0.1,77.5377,20564.6116,105.7596,1.7235
Combination_063,40,128,1,0.3,69.5257,14044.7332,96.1826,1.7238
Combination_086,60,64,1,0.2,71.6574,15417.8378,97.8429,1.7367
Combination_015,20,64,1,0.3,72.6311,16305.5812,101.3861,1.7405
Combination_064,40,128,1,0.4,73.4089,17035.5931,101.1402,1.7483
Combination_029,20,128,2,0.1,71.5814,14598.6059,97.2175,1.754
Combination_017,20,64,2,0.1,73.6823,16702.7659,100.8101,1.7611
Combination_102,60,128,2,0.2,75.1681,16920.9858,100.9692,1.7626
Combination_085,60,64,1,0.1,79.8723,20709.7772,105.1187,1.7775
Combination_051,40,64,1,0.3,71.3812,15371.4801,98.9577,1.7813
Combination_034,20,128,3,0.2,70.2393,14332.4674,97.0982,1.7844
Combination_067,40,128,2,0.3,74.5687,17705.2271,103.5106,1.7923
Combination_073,60,32,1,0.1,73.1715,14919.0971,98.4843,1.8158
Combination_099,60,128,1,0.3,71.1563,14279.9504,98.1139,1.8267
Combination_016,20,64,1,0.4,84.5863,24621.9813,112.8192,1.8282
Combination_030,20,128,2,0.2,69.9726,14176.1415,97.9104,1.8415
Combination_021,20,64,3,0.1,75.5839,18035.0518,106.2779,1.8459
Combination_101,60,128,2,0.1,80.6753,18816.9398,107.036,1.8471
Combination_031,20,128,2,0.3,75.4891,15886.2748,102.4726,1.8551
Combination_037,40,32,1,0.1,81.7599,20301.8434,108.8968,1.8634
Combination_035,20,128,3,0.3,80.2323,20698.5265,109.2954,1.8672
Combination_057,40,64,3,0.1,80.8809,19889.1141,107.6039,1.8739
Combination_089,60,64,2,0.1,75.8792,15822.2267,102.1297,1.8801
Combination_074,60,32,1,0.2,76.8278,16736.634,104.9737,1.8891
Combination_002,20,32,1,0.2,81.2863,19246.0506,109.1928,1.8945
Combination_052,40,64,1,0.4,79.7225,17697.3181,105.9047,1.8968
Combination_087,60,64,1,0.3,76.816,16289.9231,104.867,1.9041
Combination_100,60,128,1,0.4,75.8594,16204.7662,103.9578,1.9046
Combination_018,20,64,2,0.2,78.9921,18465.2648,106.6998,1.9079
Combination_038,40,32,1,0.2,83.9748,22146.124,112.2601,1.9109
Combination_039,40,32,1,0.3,85.5963,22569.7697,114.6357,1.9351
Combination_053,40,64,2,0.1,83.1809,18924.0047,110.8871,1.9599
Combination_070,40,128,3,0.2,83.5465,21494.9322,112.1807,1.9639
Combination_054,40,64,2,0.2,85.4763,22582.9918,117.3422,1.9698
Combination_071,40,128,3,0.3,82.5433,19604.7019,110.3488,1.9701
Combination_040,40,32,1,0.4,83.458,20472.0611,112.6312,1.9905
Combination_032,20,128,2,0.4,86.6739,23223.4538,114.7536,1.9953
Combination_104,60,128,2,0.4,92.0444,28287.267,123.008,1.9981
Combination_105,60,128,3,0.1,96.5466,30780.6909,123.9432,2.0019
Combination_041,40,32,2,0.1,83.3363,19994.0004,113.4611,2.0074
Combination_004,20,32,1,0.4,82.009,18599.3852,110.5908,2.0156
Combination_103,60,128,2,0.3,86.1963,21270.8638,115.0492,2.0255
Combination_091,60,64,2,0.3,92.8562,27401.2998,123.7977,2.0379
Combination_088,60,64,1,0.4,92.495,25982.8163,121.201,2.0417
Combination_090,60,64,2,0.2,90.4817,26055.5587,121.7855,2.0606
Combination_055,40,64,2,0.3,93.7322,28721.5383,125.7462,2.064
Combination_019,20,64,2,0.3,94.4941,26581.4813,126.4978,2.1204
Combination_076,60,32,1,0.4,90.5714,23456.1529,121.0235,2.1251
Combination_075,60,32,1,0.3,92.8828,24611.7607,122.861,2.1333
Combination_020,20,64,2,0.4,90.2347,25655.1595,124.8906,2.1435
Combination_005,20,32,2,0.1,93.3661,26506.7629,125.6171,2.1482
Combination_058,40,64,3,0.2,101.8668,34171.624,132.0821,2.1723
Combination_003,20,32,1,0.3,84.5872,19293.0922,114.1156,2.176
Combination_036,20,128,3,0.4,85.9226,20811.7637,116.0931,2.194
Combination_056,40,64,2,0.4,102.4049,32306.7451,133.5268,2.2167
Combination_022,20,64,3,0.2,102.4818,34303.9623,139.05,2.2192
Combination_106,60,128,3,0.2,112.4622,48069.7685,144.1081,2.2365
Combination_068,40,128,2,0.4,101.0203,30538.7284,132.1453,2.2422
