config,window,units,layers,dropout,ticker,MAE,MSE,RMSE,MAPE
Combination_001,20,32,1,0.1,ADRO,37.39001130243,2809.052174676019,53.00049221163912,2.037810095816489
Combination_001,20,32,1,0.1,BBCA,115.63930336948776,29237.78594110481,170.99060190871546,1.4026756934434692
Combination_001,20,32,1,0.1,BBNI,72.34647898365267,9635.93707858114,98.1628090397842,1.7050722657230302
Combination_001,20,32,1,0.1,BBRI,67.62755976665515,8097.121911127023,89.98400919678464,1.750233659266527
Combination_001,20,32,1,0.1,BBTN,29.69788723402572,1736.5655360486362,41.672119409128165,2.4492010847453263
Combination_001,20,32,1,0.1,BMRI,84.81806647434509,11291.690907053448,106.26236825449284,1.8141130710127031
Combination_001,20,32,1,0.1,ITMG,287.0350309091507,137286.77565062538,370.5223011515304,1.2721791330575316
Combination_001,20,32,1,0.1,MEDC,29.71232455452459,1578.9456584444706,39.735949195212015,2.2576647087106334
Combination_001,20,32,1,0.1,PGAS,24.43392323075437,1194.3929818519653,34.55999105688491,1.4384806245771429
Combination_001,20,32,1,0.1,PTBA,26.67657058337609,2777.848514546928,52.70529873311532,1.107416769389542
Combination_002,20,32,1,0.2,ADRO,38.336785979729775,3032.3135905912463,55.0664470489176,2.0865741206034203
Combination_002,20,32,1,0.2,BBCA,117.69353776526962,30342.84873386745,174.1919881448841,1.4281602499109147
Combination_002,20,32,1,0.2,BBNI,115.9530129021021,19885.254138237608,141.01508478966926,2.7674913097200897
Combination_002,20,32,1,0.2,BBRI,78.4697926791429,10003.369228663396,100.01684472459324,2.033110662774973
Combination_002,20,32,1,0.2,BBTN,28.46026942979864,1686.6899491107647,41.069331003934856,2.342179196325742
Combination_002,20,32,1,0.2,BMRI,94.4376663188282,13497.739170211524,116.17977091650476,2.0115031103677565
Combination_002,20,32,1,0.2,ITMG,252.5513815472452,107594.13121931204,328.0154435683053,1.1198646283030094
Combination_002,20,32,1,0.2,MEDC,31.74879632336074,1827.5635173990795,42.75001189940279,2.4098376311651206
Combination_002,20,32,1,0.2,PGAS,26.0010864751802,1340.670557643749,36.615168409332064,1.5301277575946295
Combination_002,20,32,1,0.2,PTBA,29.210972409668585,3249.925764187923,57.00812016009581,1.2166207063775782
Combination_003,20,32,1,0.3,ADRO,86.10624659940493,12853.315121732276,113.37246191969317,4.818017934271027
Combination_003,20,32,1,0.3,BBCA,125.54061384724191,30571.9587092455,174.84838777994352,1.5293197659395734
Combination_003,20,32,1,0.3,BBNI,85.78013691113152,12255.15217873668,110.70299083013376,2.030051809524488
Combination_003,20,32,1,0.3,BBRI,84.46881683767992,11286.992376848992,106.24025779735754,2.1917957647065336
Combination_003,20,32,1,0.3,BBTN,29.48331339614436,1658.118767555343,40.72000451320386,2.4398710267636394
Combination_003,20,32,1,0.3,BMRI,127.37793340528611,24665.447978884786,157.0523733627887,2.751920224599252
Combination_003,20,32,1,0.3,ITMG,223.4818339883856,93647.84624554944,306.01935599819404,0.992360936026244
Combination_003,20,32,1,0.3,MEDC,32.09739040720274,1800.1602298014818,42.42829515549124,2.4337992439117104
Combination_003,20,32,1,0.3,PGAS,24.93639777890211,1286.9110159152149,35.87354200403432,1.4685584011800548
Combination_003,20,32,1,0.3,PTBA,26.59890061230968,2905.019510703968,53.89823290891797,1.1038134209030512
Combination_004,20,32,1,0.4,ADRO,44.70319284970384,3580.3620892526933,59.83612695732147,2.4320435068753468
Combination_004,20,32,1,0.4,BBCA,117.32677723220776,26764.464528136366,163.59848571468004,1.4335463166211204
Combination_004,20,32,1,0.4,BBNI,123.0938069254375,22653.00702246724,150.50915926436917,2.939304305707988
Combination_004,20,32,1,0.4,BBRI,87.73265562699247,11951.54996238681,109.32314467845686,2.2716705135562623
Combination_004,20,32,1,0.4,BBTN,29.337265412173583,1819.399340384324,42.65441759518379,2.4163800531217
Combination_004,20,32,1,0.4,BMRI,94.94916508952488,15220.067117088096,123.36963612286492,2.032252631314565
Combination_004,20,32,1,0.4,ITMG,227.08281786750584,96697.60282436686,310.9623816868639,1.0082413239714272
Combination_004,20,32,1,0.4,MEDC,32.76800313884379,1888.5722612705304,43.4577065808877,2.4874435868951137
Combination_004,20,32,1,0.4,PGAS,29.28511866562657,1695.9620984866754,41.1820603963264,1.7242010822401963
Combination_004,20,32,1,0.4,PTBA,33.81131113647557,3722.864810775992,61.01528341961537,1.4106910439611733
Combination_005,20,32,2,0.1,ADRO,46.765729288081474,3938.874557505352,62.7604537707094,2.5609501228525327
Combination_005,20,32,2,0.1,BBCA,131.31919595406205,34179.170729867365,184.8760956150561,1.5952757858727726
Combination_005,20,32,2,0.1,BBNI,147.23564655660735,31834.0121390469,178.4208848174644,3.537623254799898
Combination_005,20,32,2,0.1,BBRI,72.99377558258455,9256.666908008783,96.21157366974508,1.892882922476265
Combination_005,20,32,2,0.1,BBTN,34.11475720475908,2362.3379130818093,48.603887839161686,2.822315806162798
Combination_005,20,32,2,0.1,BMRI,122.43139338793506,25883.496913161565,160.8834886281422,2.594720536837084
Combination_005,20,32,2,0.1,ITMG,291.9781459964437,151272.0216195681,388.9370406885517,1.2944795406544864
Combination_005,20,32,2,0.1,MEDC,33.107347451965,1945.1618773246096,44.10398935838582,2.5120103078760043
Combination_005,20,32,2,0.1,PGAS,25.06294917717253,1236.6577246962704,35.16614458106362,1.478978552111479
Combination_005,20,32,2,0.1,PTBA,28.65250923972336,3159.2286285863534,56.20701583064479,1.1926254781466514
Combination_006,20,32,2,0.2,ADRO,61.01662895715924,6716.580967436404,81.95474951115648,3.288879837879872
Combination_006,20,32,2,0.2,BBCA,170.8446851973053,67608.85408431996,260.0170265277256,2.0667476107085
Combination_006,20,32,2,0.2,BBNI,85.99690454469312,12701.946384044524,112.70291204775732,2.0372521573963853
Combination_006,20,32,2,0.2,BBRI,79.99898270318941,10463.211756281124,102.289841901731,2.077555657469083
Combination_006,20,32,2,0.2,BBTN,34.90454514353263,2615.745930009081,51.14436361916219,2.8644450475149803
Combination_006,20,32,2,0.2,BMRI,130.4490056762592,24551.77415500901,156.6900576137778,2.7964281516778824
Combination_006,20,32,2,0.2,ITMG,426.8915225275986,275123.35055667046,524.5220210407476,1.881829146456376
Combination_006,20,32,2,0.2,MEDC,42.09315659685203,2868.471585133681,53.55811409239202,3.178069534061345
Combination_006,20,32,2,0.2,PGAS,25.38229916593153,1334.9668113636646,36.53719763971595,1.4908680183910976
Combination_006,20,32,2,0.2,PTBA,31.84102485291392,3419.5789023260227,58.47716564887549,1.3266230016859757
Combination_007,20,32,2,0.3,ADRO,60.525198101246986,6606.172615879106,81.27836499265415,3.266535596795681
Combination_007,20,32,2,0.3,BBCA,165.24226013490616,64731.22689402368,254.42332222896485,1.9990990919678755
