ticker,AIC_20,AIC_5,BIC_20,BIC_5
ADRO,"(0, 1, 3)(0, 0, 3, 20)","(0, 1, 3)(0, 0, 3, 5)","(0, 1, 3)(0, 0, 3, 20)","(0, 1, 3)(0, 0, 3, 5)"
BBCA,"(0, 1, 3)(0, 0, 3, 20)","(0, 1, 3)(2, 0, 3, 5)","(0, 1, 3)(0, 0, 3, 20)","(0, 1, 3)(2, 0, 3, 5)"
BBNI,"(0, 1, 3)(0, 0, 3, 20)","(0, 1, 3)(2, 0, 3, 5)","(0, 1, 3)(0, 0, 3, 20)","(0, 1, 3)(0, 0, 3, 5)"
BBRI,"(2, 1, 3)(3, 0, 3, 20)","(3, 1, 3)(3, 0, 3, 5)","(0, 1, 3)(0, 0, 3, 20)","(0, 1, 3)(0, 0, 3, 5)"
BBTN,"(1, 0, 3)(1, 0, 3, 20)","(1, 0, 3)(1, 0, 3, 5)","(1, 0, 3)(1, 0, 3, 20)","(1, 0, 3)(0, 0, 3, 5)"
BMRI,"(0, 1, 3)(0, 0, 3, 20)","(0, 1, 3)(3, 0, 3, 5)","(0, 1, 3)(0, 0, 3, 20)","(0, 1, 3)(0, 0, 3, 5)"
ITMG,"(1, 1, 3)(0, 0, 3, 20)","(2, 1, 3)(0, 0, 3, 5)","(1, 1, 3)(0, 0, 3, 20)","(0, 1, 3)(0, 0, 3, 5)"
MEDC,"(2, 1, 3)(0, 0, 3, 20)","(2, 1, 3)(0, 0, 3, 5)","(1, 1, 3)(0, 0, 3, 20)","(0, 1, 3)(0, 0, 3, 5)"
PGAS,"(3, 0, 3)(1, 0, 3, 20)","(1, 0, 3)(1, 0, 3, 5)","(3, 0, 0)(3, 0, 0, 20)","(1, 0, 1)(0, 0, 3, 5)"
PTBA,"(0, 1, 3)(0, 0, 3, 20)","(0, 1, 3)(1, 0, 3, 5)","(0, 1, 3)(0, 0, 3, 20)","(0, 1, 3)(0, 0, 3, 5)"
